                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6916,                 2.9219,                 1.2917,                0.31363,                0.35952,                  0.168,                0.09179,                 1.3906,                 2.3767,                  1.267,               0.070169,              0.0033146,              0.0033146
                      2,                 1.4358,                 2.0292,                 1.1528,                0.31426,                0.42648,                0.30861,                0.20519,                 1.2429,                 2.0476,                 1.1688,               0.040147,               0.006626,               0.006626
                      3,                 1.3914,                 1.8623,                 1.1304,                0.46035,                0.52443,                0.43586,                0.27687,                 1.2373,                 1.8636,                  1.155,               0.010103,              0.0099154,              0.0099154
                      4,                   1.36,                 1.7195,                  1.116,                0.52683,                0.46038,                0.50089,                0.31883,                 1.2158,                 1.7831,                 1.1844,               0.009901,               0.009901,               0.009901
                      5,                 1.2945,                 1.5883,                 1.0917,                0.57259,                0.61703,                0.61941,                0.39881,                 1.1504,                 1.6937,                 1.1374,               0.009901,               0.009901,               0.009901
                      6,                 1.2342,                 1.4952,                 1.0757,                0.63203,                0.64397,                0.66347,                0.44628,                 1.1187,                 1.6559,                 1.1274,               0.009868,               0.009868,               0.009868
                      7,                 1.2064,                 1.4085,                 1.0534,                 0.6781,                0.64607,                0.70133,                0.46053,                 1.1308,                  1.555,                 1.1437,               0.009835,               0.009835,               0.009835
                      8,                 1.1745,                 1.3585,                 1.0506,                0.70481,                0.65535,                0.72886,                0.49887,                  1.082,                 1.4635,                 1.1166,               0.009802,               0.009802,               0.009802
                      9,                 1.1331,                 1.3012,                 1.0295,                0.73678,                0.62956,                 0.7424,                0.50623,                 1.0827,                 1.4162,                 1.1242,               0.009769,               0.009769,               0.009769
                     10,                 1.1275,                 1.2453,                 1.0292,                0.73307,                0.67187,                0.74613,                0.51977,                 1.0526,                 1.4272,                    1.1,               0.009736,               0.009736,               0.009736
                     11,                 1.1017,                 1.2322,                 1.0195,                0.73999,                0.68904,                0.76728,                0.52518,                 1.0642,                 1.3747,                 1.1085,               0.009703,               0.009703,               0.009703
                     12,                 1.0917,                 1.1936,                 1.0182,                0.75417,                0.71016,                0.77744,                0.53952,                 1.0349,                 1.3518,                 1.0912,                0.00967,                0.00967,                0.00967
